match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,out/not_out,match_id
P.N.G. Vs New Zealand,P.N.G.,5,Hiri Hiri, b Boult,7,11,1,0,63.63,out,T20I # 2702
P.N.G. Vs New Zealand,P.N.G.,6,Chad Soper, b Ferguson,1,6,0,0,16.66,out,T20I # 2702
P.N.G. Vs New Zealand,P.N.G.,7,Kiplin Doriga, b Southee,5,7,1,0,71.42,out,T20I # 2702
P.N.G. Vs New Zealand,P.N.G.,8,Norman Vanua,c Mitchell b Boult,14,13,1,1,107.69,out,T20I # 2702
P.N.G. Vs New Zealand,P.N.G.,9,Alei Nao,c Mitchell b Sodhi,3,7,0,0,42.85,out,T20I # 2702
P.N.G. Vs New Zealand,P.N.G.,10,Kabua Morea,st â€ Conway b Sodhi,0,3,0,0,0,out,T20I # 2702
P.N.G. Vs New Zealand,P.N.G.,11,Semo Kamea,not out,1,1,0,0,100,not_out,T20I # 2702
P.N.G. Vs New Zealand,New Zealand,1,Finn Allen,c â€ Doriga b Morea,0,2,0,0,0,out,T20I # 2702
P.N.G. Vs New Zealand,New Zealand,2,Devon Conway,lbw b Kamea,35,32,2,3,109.37,out,T20I # 2702
P.N.G. Vs New Zealand,New Zealand,3,Rachin Ravindra,c Kamea b Morea,6,11,0,0,54.54,out,T20I # 2702
P.N.G. Vs New Zealand,New Zealand,4,Kane Williamson,not out,18,17,2,0,105.88,not_out,T20I # 2702
P.N.G. Vs New Zealand,New Zealand,5,Daryl Mitchell,not out,19,12,3,0,158.33,not_out,T20I # 2702
Bangladesh Vs Nepal,Bangladesh,1,Tanzid Hasan,c & b Sompal Kami,0,1,0,0,0,out,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,2,Litton Das,c â€ Aasif Sheikh b Sompal Kami,10,12,1,0,83.33,out,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,3,Najmul Hossain Shanto, b Airee,4,5,0,0,80,out,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,4,Shakib Al Hasan,lbw b Paudel,17,22,2,0,77.27,out,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,5,Towhid Hridoy,c Lamichhane b Paudel,9,7,2,0,128.57,out,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,6,Mahmudullah,run out (Gulsan Jha/Lamichhane),13,13,2,0,100,out,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,7,Jaker Ali, b Lamichhane,12,26,0,0,46.15,out,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,8,Tanzim Hasan Sakib, b Lamichhane,3,5,0,0,60,out,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,9,Rishad Hossain,c Sah b Airee,13,7,1,1,185.71,out,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,10,Taskin Ahmed,not out,12,15,2,0,80,not_out,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,11,Mustafizur Rahman,run out (Paudel/Airee),3,4,0,0,75,out,T20I # 2698
Bangladesh Vs Nepal,Nepal,1,Kushal Bhurtel, b Tanzim Hasan Sakib,4,8,1,0,50,out,T20I # 2698
Bangladesh Vs Nepal,Nepal,2,Aasif Sheikh,c Shakib Al Hasan b Mustafizur Rahman,17,14,4,0,121.42,out,T20I # 2698
Bangladesh Vs Nepal,Nepal,3,Anil Sah,c Najmul Hossain Shanto b Tanzim Hasan Sakib,0,2,0,0,0,out,T20I # 2698
Bangladesh Vs Nepal,Nepal,4,Rohit Paudel,c Rishad Hossain b Tanzim Hasan Sakib,1,6,0,0,16.66,out,T20I # 2698
Bangladesh Vs Nepal,Nepal,5,Sundeep Jora,c Rishad Hossain b Tanzim Hasan Sakib,1,8,0,0,12.5,out,T20I # 2698
Bangladesh Vs Nepal,Nepal,6,Kushal Malla,c Najmul Hossain Shanto b Mustafizur Rahman,27,40,1,1,67.5,out,T20I # 2698
Bangladesh Vs Nepal,Nepal,7,Dipendra Singh Airee,c â€ Litton Das b Mustafizur Rahman,25,31,2,1,80.64,out,T20I # 2698
Bangladesh Vs Nepal,Nepal,8,Gulsan Jha,c Towhid Hridoy b Taskin Ahmed,0,4,0,0,0,out,T20I # 2698
Bangladesh Vs Nepal,Nepal,9,Sompal Kami,st â€ Litton Das b Shakib Al Hasan,0,2,0,0,0,out,T20I # 2698
Bangladesh Vs Nepal,Nepal,10,Sandeep Lamichhane,not out,0,0,0,0,-,not_out,T20I # 2698
Bangladesh Vs Nepal,Nepal,11,Abinash Bohara,lbw b Shakib Al Hasan,0,1,0,0,0,out,T20I # 2698
Sri Lanka Vs South Africa,Sri Lanka,1,Pathum Nissanka,c Klaasen b Baartman,3,8,0,0,37.5,out,T20I # 2635
Sri Lanka Vs South Africa,Sri Lanka,2,Kusal Mendis,c Stubbs b Nortje,19,30,1,0,63.33,out,T20I # 2635
Sri Lanka Vs South Africa,Sri Lanka,3,Kamindu Mendis,c Hendricks b Nortje,11,15,1,0,73.33,out,T20I # 2635
Sri Lanka Vs South Africa,Sri Lanka,4,Wanindu Hasaranga,st â€ de Kock b Maharaj,0,2,0,0,0,out,T20I # 2635
Sri Lanka Vs South Africa,Sri Lanka,5,Sadeera Samarawickrama, b Maharaj,0,1,0,0,0,out,T20I # 2635
Sri Lanka Vs South Africa,Sri Lanka,6,Charith Asalanka,c Hendricks b Nortje,6,9,0,0,66.66,out,T20I # 2635
Sri Lanka Vs South Africa,Sri Lanka,7,Angelo Mathews,c Baartman b Nortje,16,16,0,2,100,out,T20I # 2635
Sri Lanka Vs South Africa,Sri Lanka,8,Dasun Shanaka, b Rabada,9,10,0,1,90,out,T20I # 2635
Sri Lanka Vs South Africa,Sri Lanka,9,Maheesh Theekshana,not out,7,16,1,0,43.75,not_out,T20I # 2635
Sri Lanka Vs South Africa,Sri Lanka,10,Matheesha Pathirana,c Markram b Rabada,0,4,0,0,0,out,T20I # 2635
Sri Lanka Vs South Africa,Sri Lanka,11,Nuwan Thushara,run out (Nortje/Jansen),0,4,0,0,0,out,T20I # 2635
Sri Lanka Vs South Africa,South Africa,1,Quinton de Kock,c & b Hasaranga,20,27,0,1,74.07,out,T20I # 2635
Sri Lanka Vs South Africa,South Africa,2,Reeza Hendricks,c PHKD Mendis b Thushara,4,2,1,0,200,out,T20I # 2635
Sri Lanka Vs South Africa,South Africa,3,Aiden Markram,c PHKD Mendis b Shanaka,12,14,0,1,85.71,out,T20I # 2635
Sri Lanka Vs South Africa,South Africa,4,Tristan Stubbs,c Asalanka b Hasaranga,13,28,0,0,46.42,out,T20I # 2635
Sri Lanka Vs South Africa,South Africa,5,Heinrich Klaasen,not out,19,22,1,1,86.36,not_out,T20I # 2635
Sri Lanka Vs South Africa,South Africa,6,David Miller,not out,6,6,1,0,100,not_out,T20I # 2635
Pakistan Vs U.S.A.,Pakistan,1,Mohammad Rizwan,c Taylor b Netravalkar,9,8,0,1,112.5,out,T20I # 2642
Pakistan Vs U.S.A.,Pakistan,2,Babar Azam,lbw b Jasdeep Singh,44,43,3,2,102.32,out,T20I # 2642
Pakistan Vs U.S.A.,Pakistan,3,Usman Khan,c Kumar b Kenjige,3,3,0,0,100,out,T20I # 2642
Pakistan Vs U.S.A.,Pakistan,4,Fakhar Zaman,c Taylor b Ali Khan,11,7,0,1,157.14,out,T20I # 2642
Pakistan Vs U.S.A.,Pakistan,5,Shadab Khan,c Netravalkar b Kenjige,40,25,1,3,160,out,T20I # 2642
Pakistan Vs U.S.A.,Pakistan,6,Azam Khan,lbw b Kenjige,0,1,0,0,0,out,T20I # 2642
Pakistan Vs U.S.A.,Pakistan,7,Iftikhar Ahmed,lbw b Netravalkar,18,14,3,0,128.57,out,T20I # 2642
Pakistan Vs U.S.A.,Pakistan,8,Shaheen Shah Afridi,not out,23,16,1,2,143.75,not_out,T20I # 2642
Pakistan Vs U.S.A.,Pakistan,9,Haris Rauf,not out,3,3,0,0,100,not_out,T20I # 2642
Pakistan Vs U.S.A.,U.S.A.,1,Steven Taylor,c Mohammad Rizwan b Naseem Shah,12,16,1,0,75,out,T20I # 2642
Pakistan Vs U.S.A.,U.S.A.,2,Monank Patel,c Mohammad Rizwan b Mohammad Amir,50,38,7,1,131.57,out,T20I # 2642
Pakistan Vs U.S.A.,U.S.A.,3,Andries Gous, b Haris Rauf,35,26,5,1,134.61,out,T20I # 2642
Pakistan Vs U.S.A.,U.S.A.,4,Aaron Jones,not out,36,26,2,2,138.46,not_out,T20I # 2642
Pakistan Vs U.S.A.,U.S.A.,5,Nitish Kumar,not out,14,14,1,0,100,not_out,T20I # 2642
West Indies Vs New Zealand,West Indies,1,Brandon King,c â€ Conway b Neesham,9,12,0,1,75,out,T20I # 2672
West Indies Vs New Zealand,West Indies,2,Johnson Charles, b Boult,0,5,0,0,0,out,T20I # 2672
West Indies Vs New Zealand,West Indies,3,Nicholas Pooran,c â€ Conway b Southee,17,12,3,0,141.66,out,T20I # 2672
West Indies Vs New Zealand,West Indies,4,Roston Chase,c Ravindra b Ferguson,0,3,0,0,0,out,T20I # 2672
West Indies Vs New Zealand,West Indies,5,Rovman Powell,c â€ Conway b Southee,1,5,0,0,20,out,T20I # 2672
West Indies Vs New Zealand,West Indies,6,Sherfane Rutherford,not out,68,39,2,6,174.35,not_out,T20I # 2672
West Indies Vs New Zealand,West Indies,7,Akeal Hosein,c Neesham b Santner,15,17,0,1,88.23,out,T20I # 2672
West Indies Vs New Zealand,West Indies,8,Andre Russell,c Ferguson b Boult,14,7,2,1,200,out,T20I # 2672
West Indies Vs New Zealand,West Indies,9,Romario Shepherd,lbw b Ferguson,13,13,0,1,100,out,T20I # 2672
West Indies Vs New Zealand,West Indies,10,Alzarri Joseph, b Boult,6,6,1,0,100,out,T20I # 2672
West Indies Vs New Zealand,West Indies,11,Gudakesh Motie,not out,0,1,0,0,0,not_out,T20I # 2672
West Indies Vs New Zealand,New Zealand,1,Devon Conway,c Chase b Hosein,5,8,0,0,62.5,out,T20I # 2672
West Indies Vs New Zealand,New Zealand,2,Finn Allen,c Russell b Joseph,26,23,3,1,113.04,out,T20I # 2672
West Indies Vs New Zealand,New Zealand,3,Rachin Ravindra,c Russell b Motie,10,13,0,0,76.92,out,T20I # 2672
West Indies Vs New Zealand,New Zealand,4,Kane Williamson,c â€ Pooran b Motie,1,2,0,0,50,out,T20I # 2672
West Indies Vs New Zealand,New Zealand,5,Daryl Mitchell, b Motie,12,13,1,0,92.3,out,T20I # 2672
West Indies Vs New Zealand,New Zealand,6,Glenn Phillips,c Powell b Joseph,40,33,3,2,121.21,out,T20I # 2672
West Indies Vs New Zealand,New Zealand,7,James Neesham,c King b Joseph,10,11,0,1,90.9,out,T20I # 2672
West Indies Vs New Zealand,New Zealand,8,Mitchell Santner,not out,21,12,0,3,175,not_out,T20I # 2672
West Indies Vs New Zealand,New Zealand,9,Tim Southee,c & b Joseph,0,1,0,0,0,out,T20I # 2672
West Indies Vs New Zealand,New Zealand,10,Trent Boult,c Chase b Russell,7,4,0,1,175,out,T20I # 2672
West Indies Vs New Zealand,New Zealand,11,Lockie Ferguson,not out,0,0,0,0,-,not_out,T20I # 2672
India Vs Afghanistan,India,1,Rohit Sharma,c Rashid Khan b Fazalhaq Farooqi,8,13,1,0,61.53,out,T20I # 2710
India Vs Afghanistan,India,2,Virat Kohli,c Mohammad Nabi b Rashid Khan,24,24,0,1,100,out,T20I # 2710
India Vs Afghanistan,India,3,Rishabh Pant,lbw b Rashid Khan,20,11,4,0,181.81,out,T20I # 2710
India Vs Afghanistan,India,4,Suryakumar Yadav,c Mohammad Nabi b Fazalhaq Farooqi,53,28,5,3,189.28,out,T20I # 2710
India Vs Afghanistan,India,5,Shivam Dube,lbw b Rashid Khan,10,7,0,1,142.85,out,T20I # 2710
India Vs Afghanistan,India,6,Hardik Pandya,c Azmatullah Omarzai b Naveen-ul-Haq,32,24,3,2,133.33,out,T20I # 2710
India Vs Afghanistan,India,7,Ravindra Jadeja,c Gulbadin Naib b Fazalhaq Farooqi,7,5,1,0,140,out,T20I # 2710
India Vs Afghanistan,India,8,Axar Patel,run out (â€ Rahmanullah Gurbaz/Naveen-ul-Haq),12,6,2,0,200,out,T20I # 2710
India Vs Afghanistan,India,9,Arshdeep Singh,not out,2,2,0,0,100,not_out,T20I # 2710
India Vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz,c â€ Pant b Bumrah,11,8,1,1,137.5,out,T20I # 2710
India Vs Afghanistan,Afghanistan,2,Hazratullah Zazai,c Jadeja b Bumrah,2,4,0,0,50,out,T20I # 2710
India Vs Afghanistan,Afghanistan,3,Ibrahim Zadran,c Sharma b Patel,8,11,1,0,72.72,out,T20I # 2710
India Vs Afghanistan,Afghanistan,4,Gulbadin Naib,c â€ Pant b Kuldeep Yadav,17,21,1,1,80.95,out,T20I # 2710
India Vs Afghanistan,Afghanistan,5,Azmatullah Omarzai,c Patel b Jadeja,26,20,2,1,130,out,T20I # 2710
India Vs Afghanistan,Afghanistan,6,Najibullah Zadran,c Arshdeep Singh b Bumrah,19,17,0,2,111.76,out,T20I # 2710
India Vs Afghanistan,Afghanistan,7,Mohammad Nabi,c Jadeja b Kuldeep Yadav,14,14,0,1,100,out,T20I # 2710
India Vs Afghanistan,Afghanistan,8,Rashid Khan,c Jadeja b Arshdeep Singh,2,6,0,0,33.33,out,T20I # 2710
India Vs Afghanistan,Afghanistan,9,Noor Ahmad,c Sharma b Arshdeep Singh,12,18,1,1,66.66,out,T20I # 2710
India Vs Afghanistan,Afghanistan,10,Naveen-ul-Haq,c â€ Pant b Arshdeep Singh,0,1,0,0,0,out,T20I # 2710
India Vs Afghanistan,Afghanistan,11,Fazalhaq Farooqi,not out,4,1,1,0,400,not_out,T20I # 2710
P.N.G. Vs West Indies,P.N.G.,1,Tony Ura,c â€ Pooran b Shepherd,2,5,0,0,40,out,T20I # 2633
P.N.G. Vs West Indies,P.N.G.,2,Assad Vala,c Chase b Joseph,21,22,2,1,95.45,out,T20I # 2633
P.N.G. Vs West Indies,P.N.G.,3,Lega Siaka, b Hosein,1,2,0,0,50,out,T20I # 2633
P.N.G. Vs West Indies,P.N.G.,4,Sese Bau, b Joseph,50,43,6,1,116.27,out,T20I # 2633
P.N.G. Vs West Indies,P.N.G.,5,Hiri Hiri,c Powell b Motie,2,6,0,0,33.33,out,T20I # 2633
P.N.G. Vs West Indies,P.N.G.,6,Charles Amini,c â€ Pooran b Russell,12,14,0,0,85.71,out,T20I # 2633
P.N.G. Vs West Indies,P.N.G.,7,Kiplin Doriga,not out,27,18,3,0,150,not_out,T20I # 2633
P.N.G. Vs West Indies,P.N.G.,8,Chad Soper, b Russell,10,9,1,0,111.11,out,T20I # 2633
P.N.G. Vs West Indies,P.N.G.,9,Alei Nao,run out (Joseph),0,0,0,0,-,out,T20I # 2633
P.N.G. Vs West Indies,P.N.G.,10,Kabua Morea,not out,2,2,0,0,100,not_out,T20I # 2633
P.N.G. Vs West Indies,West Indies,1,Brandon King,c Siaka b Vala,34,29,7,0,117.24,out,T20I # 2633
P.N.G. Vs West Indies,West Indies,2,Johnson Charles,lbw b Nao,0,1,0,0,0,out,T20I # 2633
P.N.G. Vs West Indies,West Indies,3,Nicholas Pooran,c Ura b Kariko,27,27,1,2,100,out,T20I # 2633
P.N.G. Vs West Indies,West Indies,4,Roston Chase,not out,42,27,4,2,155.55,not_out,T20I # 2633
P.N.G. Vs West Indies,West Indies,5,Rovman Powell,c â€ Doriga b Soper,15,14,2,0,107.14,out,T20I # 2633
P.N.G. Vs West Indies,West Indies,6,Sherfane Rutherford,c â€ Doriga b Vala,2,7,0,0,28.57,out,T20I # 2633
P.N.G. Vs West Indies,West Indies,7,Andre Russell,not out,15,9,0,1,166.66,not_out,T20I # 2633
Oman Vs England,Oman,1,Pratik Athavale,c Salt b Archer,5,3,1,0,166.66,out,T20I # 2678
Oman Vs England,Oman,2,Kashyap Prajapati,c Livingstone b Wood,9,16,0,1,56.25,out,T20I # 2678
Oman Vs England,Oman,3,Aqib Ilyas,c Jacks b Archer,8,10,1,0,80,out,T20I # 2678
Oman Vs England,Oman,4,Zeeshan Maqsood,c & b Wood,1,5,0,0,20,out,T20I # 2678
Oman Vs England,Oman,5,Khalid Kail,st â€ Buttler b Rashid,1,3,0,0,33.33,out,T20I # 2678
Oman Vs England,Oman,6,Ayaan Khan, b Wood,1,5,0,0,20,out,T20I # 2678
Oman Vs England,Oman,7,Shoaib Khan,c â€ Buttler b Archer,11,23,1,0,47.82,out,T20I # 2678
Oman Vs England,Oman,8,Mehran Khan,c Ali b Rashid,0,2,0,0,0,out,T20I # 2678
Oman Vs England,Oman,9,Fayyaz Butt, b Rashid,2,7,0,0,28.57,out,T20I # 2678
Oman Vs England,Oman,10,Kaleemullah, b Rashid,5,5,1,0,100,out,T20I # 2678
Oman Vs England,Oman,11,Bilal Khan,not out,0,1,0,0,0,not_out,T20I # 2678
Oman Vs England,England,1,Phil Salt, b Bilal Khan,12,3,0,2,400,out,T20I # 2678
Oman Vs England,England,2,Jos Buttler,not out,24,8,4,1,300,not_out,T20I # 2678
Oman Vs England,England,3,Will Jacks,c Prajapati b Kaleemullah,5,7,1,0,71.42,out,T20I # 2678
Oman Vs England,England,4,Jonny Bairstow,not out,8,2,2,0,400,not_out,T20I # 2678
India Vs England,India,1,Rohit Sharma, b Rashid,57,39,6,2,146.15,out,T20I # 2724
India Vs England,India,2,Virat Kohli, b Topley,9,9,0,1,100,out,T20I # 2724
India Vs England,India,3,Rishabh Pant,c Bairstow b Curran,4,6,0,0,66.66,out,T20I # 2724
India Vs England,India,4,Suryakumar Yadav,c Jordan b Archer,47,36,4,2,130.55,out,T20I # 2724
India Vs England,India,5,Hardik Pandya,c Curran b Jordan,23,13,1,2,176.92,out,T20I # 2724
India Vs England,India,6,Ravindra Jadeja,not out,17,9,2,0,188.88,not_out,T20I # 2724
India Vs England,India,7,Shivam Dube,c â€ Buttler b Jordan,0,1,0,0,0,out,T20I # 2724
India Vs England,India,8,Axar Patel,c Salt b Jordan,10,6,0,1,166.66,out,T20I # 2724
India Vs England,India,9,Arshdeep Singh,not out,1,1,0,0,100,not_out,T20I # 2724
India Vs England,England,1,Phil Salt, b Bumrah,5,8,0,0,62.5,out,T20I # 2724
India Vs England,England,2,Jos Buttler,c â€ Pant b Patel,23,15,4,0,153.33,out,T20I # 2724
India Vs England,England,3,Moeen Ali,st â€ Pant b Patel,8,10,0,0,80,out,T20I # 2724
India Vs England,England,4,Jonny Bairstow, b Patel,0,3,0,0,0,out,T20I # 2724
India Vs England,England,5,Harry Brook, b Kuldeep Yadav,25,19,3,0,131.57,out,T20I # 2724
India Vs England,England,6,Sam Curran,lbw b Kuldeep Yadav,2,4,0,0,50,out,T20I # 2724
India Vs England,England,7,Liam Livingstone,run out (Kuldeep Yadav/Patel),11,16,0,0,68.75,out,T20I # 2724
India Vs England,England,8,Chris Jordan,lbw b Kuldeep Yadav,1,5,0,0,20,out,T20I # 2724
India Vs England,England,9,Jofra Archer,lbw b Bumrah,21,15,1,2,140,out,T20I # 2724
India Vs England,England,10,Adil Rashid,run out (Yadav),2,2,0,0,100,out,T20I # 2724
India Vs England,England,11,Reece Topley,not out,3,3,0,0,100,not_out,T20I # 2724
P.N.G. Vs Afghanistan,P.N.G.,1,Tony Ura, b Naveen-ul-Haq,11,18,1,0,61.11,out,T20I # 2679
P.N.G. Vs Afghanistan,P.N.G.,2,Assad Vala,run out (Fazalhaq Farooqi/â€ Rahmanullah Gurbaz),3,2,0,0,150,out,T20I # 2679
P.N.G. Vs Afghanistan,P.N.G.,3,Lega Siaka,c â€ Rahmanullah Gurbaz b Fazalhaq Farooqi,0,1,0,0,0,out,T20I # 2679
P.N.G. Vs Afghanistan,P.N.G.,4,Sese Bau,c â€ Rahmanullah Gurbaz b Fazalhaq Farooqi,0,1,0,0,0,out,T20I # 2679
P.N.G. Vs Afghanistan,P.N.G.,5,Hiri Hiri, b Naveen-ul-Haq,1,3,0,0,33.33,out,T20I # 2679
P.N.G. Vs Afghanistan,P.N.G.,6,Chad Soper,run out (Noor Ahmad/Rashid Khan),9,26,0,0,34.61,out,T20I # 2679
P.N.G. Vs Afghanistan,P.N.G.,7,Kiplin Doriga,lbw b Noor Ahmad,27,32,2,0,84.37,out,T20I # 2679
P.N.G. Vs Afghanistan,P.N.G.,8,Norman Vanua,run out (Rashid Khan),0,7,0,0,0,out,T20I # 2679
P.N.G. Vs Afghanistan,P.N.G.,9,Alei Nao,c Rashid Khan b Fazalhaq Farooqi,13,19,2,0,68.42,out,T20I # 2679
P.N.G. Vs Afghanistan,P.N.G.,10,John Kariko,not out,4,7,1,0,57.14,not_out,T20I # 2679
P.N.G. Vs Afghanistan,P.N.G.,11,Semo Kamea,run out (â€ Rahmanullah Gurbaz),2,3,0,0,66.66,out,T20I # 2679
P.N.G. Vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz, b Nao,11,7,1,1,157.14,out,T20I # 2679
P.N.G. Vs Afghanistan,Afghanistan,2,Ibrahim Zadran, b Kamea,0,7,0,0,0,out,T20I # 2679
P.N.G. Vs Afghanistan,Afghanistan,3,Gulbadin Naib,not out,49,36,4,2,136.11,not_out,T20I # 2679
P.N.G. Vs Afghanistan,Afghanistan,4,Azmatullah Omarzai, b Vanua,13,18,1,0,72.22,out,T20I # 2679
P.N.G. Vs Afghanistan,Afghanistan,5,Mohammad Nabi,not out,16,23,1,0,69.56,not_out,T20I # 2679
India Vs Pakistan,India,1,Rohit Sharma,c Haris Rauf b Shaheen Shah Afridi,13,12,1,1,108.33,out,T20I # 2658
India Vs Pakistan,India,2,Virat Kohli,c Usman Khan b Naseem Shah,4,3,1,0,133.33,out,T20I # 2658
India Vs Pakistan,India,3,Rishabh Pant,c Babar Azam b Mohammad Amir,42,31,6,0,135.48,out,T20I # 2658
India Vs Pakistan,India,4,Axar Patel, b Naseem Shah,20,18,2,1,111.11,out,T20I # 2658
India Vs Pakistan,India,5,Suryakumar Yadav,c Mohammad Amir b Haris Rauf,7,8,1,0,87.5,out,T20I # 2658
India Vs Pakistan,India,6,Shivam Dube,c & b Naseem Shah,3,9,0,0,33.33,out,T20I # 2658
India Vs Pakistan,India,7,Hardik Pandya,c Iftikhar Ahmed b Haris Rauf,7,12,1,0,58.33,out,T20I # 2658
India Vs Pakistan,India,8,Ravindra Jadeja,c Imad Wasim b Mohammad Amir,0,1,0,0,0,out,T20I # 2658
India Vs Pakistan,India,9,Arshdeep Singh,run out (Babar Azam/â€ Mohammad Rizwan),9,13,1,0,69.23,out,T20I # 2658
India Vs Pakistan,India,10,Jasprit Bumrah,c Imad Wasim b Haris Rauf,0,1,0,0,0,out,T20I # 2658
India Vs Pakistan,India,11,Mohammed Siraj,not out,7,7,0,0,100,not_out,T20I # 2658
India Vs Pakistan,Pakistan,1,Mohammad Rizwan, b Bumrah,31,44,1,1,70.45,out,T20I # 2658
India Vs Pakistan,Pakistan,2,Babar Azam,c Yadav b Bumrah,13,10,2,0,130,out,T20I # 2658
India Vs Pakistan,Pakistan,3,Usman Khan,lbw b Patel,13,15,1,0,86.66,out,T20I # 2658
India Vs Pakistan,Pakistan,4,Fakhar Zaman,c â€ Pant b Pandya,13,8,1,1,162.5,out,T20I # 2658
India Vs Pakistan,Pakistan,5,Imad Wasim,c â€ Pant b Arshdeep Singh,15,23,1,0,65.21,out,T20I # 2658
India Vs Pakistan,Pakistan,6,Shadab Khan,c â€ Pant b Pandya,4,7,0,0,57.14,out,T20I # 2658
India Vs Pakistan,Pakistan,7,Iftikhar Ahmed,c Arshdeep Singh b Bumrah,5,9,0,0,55.55,out,T20I # 2658
India Vs Pakistan,Pakistan,8,Shaheen Shah Afridi,not out,0,1,0,0,0,not_out,T20I # 2658
India Vs Pakistan,Pakistan,9,Naseem Shah,not out,10,4,2,0,250,not_out,T20I # 2658
Afghanistan Vs Uganda,Afghanistan,1,Rahmanullah Gurbaz,c Riazat Ali Shah b Ramjani,76,45,4,4,168.88,out,T20I # 2636
Afghanistan Vs Uganda,Afghanistan,2,Ibrahim Zadran, b Masaba,70,46,9,1,152.17,out,T20I # 2636
Afghanistan Vs Uganda,Afghanistan,3,Najibullah Zadran,c Nakrani b Masaba,2,3,0,0,66.66,out,T20I # 2636
Afghanistan Vs Uganda,Afghanistan,4,Mohammad Nabi,not out,14,16,0,0,87.5,not_out,T20I # 2636
Afghanistan Vs Uganda,Afghanistan,5,Gulbadin Naib,c Masaba b Kyewuta,4,5,0,0,80,out,T20I # 2636
Afghanistan Vs Uganda,Afghanistan,6,Azmatullah Omarzai,c Ramjani b Kyewuta,5,5,0,0,100,out,T20I # 2636
Afghanistan Vs Uganda,Afghanistan,7,Rashid Khan,not out,2,1,0,0,200,not_out,T20I # 2636
Afghanistan Vs Uganda,Uganda,1,Ronak Patel, b Fazalhaq Farooqi,4,2,1,0,200,out,T20I # 2636
Afghanistan Vs Uganda,Uganda,2,Simon Ssesazi,c Fazalhaq Farooqi b Mujeeb Ur Rahman,4,4,1,0,100,out,T20I # 2636
Afghanistan Vs Uganda,Uganda,3,Roger Mukasa,lbw b Fazalhaq Farooqi,0,1,0,0,0,out,T20I # 2636
Afghanistan Vs Uganda,Uganda,4,Riazat Ali Shah, b Fazalhaq Farooqi,11,34,0,0,32.35,out,T20I # 2636
Afghanistan Vs Uganda,Uganda,5,Dinesh Nakrani, b Naveen-ul-Haq,6,8,1,0,75,out,T20I # 2636
Afghanistan Vs Uganda,Uganda,6,Alpesh Ramjani,c Gulbadin Naib b Naveen-ul-Haq,0,2,0,0,0,out,T20I # 2636
Afghanistan Vs Uganda,Uganda,7,Robinson Obuya,c â€ Rahmanullah Gurbaz b Fazalhaq Farooqi,14,25,0,1,56,out,T20I # 2636
Afghanistan Vs Uganda,Uganda,8,Brian Masaba,c â€ Rahmanullah Gurbaz b Fazalhaq Farooqi,0,1,0,0,0,out,T20I # 2636
Afghanistan Vs Uganda,Uganda,9,Bilal Hassan,lbw b Rashid Khan,8,16,1,0,50,out,T20I # 2636
Afghanistan Vs Uganda,Uganda,10,Cosmas Kyewuta,not out,2,2,0,0,100,not_out,T20I # 2636
Afghanistan Vs Uganda,Uganda,11,Henry Ssenyondo, b Rashid Khan,0,1,0,0,0,out,T20I # 2636
Namibia Vs Australia,Namibia,1,Michael van Lingen,c Maxwell b Hazlewood,10,10,2,0,100,out,T20I # 2666
Namibia Vs Australia,Namibia,2,Nikolaas Davin,c Maxwell b Hazlewood,2,7,0,0,28.57,out,T20I # 2666
Namibia Vs Australia,Namibia,3,Jan Frylinck,c Marsh b Cummins,1,6,0,0,16.66,out,T20I # 2666
Namibia Vs Australia,Namibia,4,Gerhard Erasmus,c Maxwell b Stoinis,36,43,4,1,83.72,out,T20I # 2666
Namibia Vs Australia,Namibia,5,JJ Smit,lbw b Ellis,3,9,0,0,33.33,out,T20I # 2666
Namibia Vs Australia,Namibia,6,Zane Green,lbw b Zampa,1,4,0,0,25,out,T20I # 2666
Namibia Vs Australia,Namibia,7,David Wiese,c Hazlewood b Zampa,1,7,0,0,14.28,out,T20I # 2666
Namibia Vs Australia,Namibia,8,Ruben Trumpelmann,c Maxwell b Zampa,7,7,0,1,100,out,T20I # 2666
Namibia Vs Australia,Namibia,9,Bernard Scholtz, b Zampa,0,2,0,0,0,out,T20I # 2666
Namibia Vs Australia,Namibia,10,Jack Brassell,not out,2,3,0,0,66.66,not_out,T20I # 2666
Namibia Vs Australia,Namibia,11,Ben Shikongo,c David b Stoinis,0,4,0,0,0,out,T20I # 2666
Namibia Vs Australia,Australia,1,David Warner,c Trumpelmann b Wiese,20,8,3,1,250,out,T20I # 2666
Namibia Vs Australia,Australia,2,Travis Head,not out,34,17,5,2,200,not_out,T20I # 2666
